DataHora,VlLow
"2018-06-01 02:26:00",7506.50
"2018-06-01 02:27:00",7508.50
"2018-06-01 02:28:00",7502.63
"2018-06-01 02:29:00",7499.79
"2018-06-01 02:30:00",7504.54
"2018-06-01 02:31:00",7504.72
"2018-06-01 02:32:00",7505.62
"2018-06-01 02:33:00",7512.70
"2018-06-01 02:34:00",7497.88
"2018-06-01 02:35:00",7498.19
"2018-06-01 02:36:00",7496.97
"2018-06-01 02:37:00",7502.99
"2018-06-01 02:38:00",7503.52
"2018-06-01 02:39:00",7495.43
"2018-06-01 02:40:00",7495.93
"2018-06-01 02:41:00",7500.49
"2018-06-01 02:42:00",7495.48
"2018-06-01 02:43:00",7497.87
"2018-06-01 02:44:00",7497.87
"2018-06-01 02:45:00",7496.79
"2018-06-01 02:46:00",7500.51
"2018-06-01 02:47:00",7500.62
"2018-06-01 02:48:00",7501.48
"2018-06-01 02:49:00",7507.86
"2018-06-01 02:50:00",7501.50
"2018-06-01 02:51:00",7498.43
"2018-06-01 02:52:00",7491.13
"2018-06-01 02:53:00",7499.10
"2018-06-01 02:54:00",7494.35
"2018-06-01 02:55:00",7493.06
"2018-06-01 02:56:00",7479.63
"2018-06-01 02:57:00",7486.02
"2018-06-01 02:58:00",7487.15
"2018-06-01 02:59:00",7487.17
"2018-06-01 03:00:00",7478.68
"2018-06-01 03:01:00",7481.22
"2018-06-01 03:02:00",7468.60
"2018-06-01 03:03:00",7465.00
"2018-06-01 03:04:00",7480.26
"2018-06-01 03:05:00",7465.97
"2018-06-01 03:06:00",7452.35
"2018-06-01 03:07:00",7465.28
"2018-06-01 03:08:00",7475.52
"2018-06-01 03:09:00",7482.66
"2018-06-01 03:10:00",7477.57
"2018-06-01 03:11:00",7475.78
"2018-06-01 03:12:00",7472.51
"2018-06-01 03:13:00",7474.91
"2018-06-01 03:14:00",7482.49
"2018-06-01 03:15:00",7482.61
"2018-06-01 03:16:00",7485.96
"2018-06-01 03:17:00",7485.98
"2018-06-01 03:18:00",7480.94
"2018-06-01 03:19:00",7483.03
"2018-06-01 03:20:00",7481.48
"2018-06-01 03:21:00",7482.07
"2018-06-01 03:22:00",7487.80
"2018-06-01 03:23:00",7484.52
"2018-06-01 03:24:00",7484.94
"2018-06-01 03:25:00",7485.39
"2018-06-01 03:26:00",7491.95
"2018-06-01 03:27:00",7485.61
"2018-06-01 03:28:00",7490.69
"2018-06-01 03:29:00",7484.26
"2018-06-01 03:30:00",7484.25
"2018-06-01 03:31:00",7482.40
"2018-06-01 03:32:00",7482.27
"2018-06-01 03:33:00",7487.74
"2018-06-01 03:34:00",7492.49
"2018-06-01 03:35:00",7488.10
"2018-06-01 03:36:00",7485.06
"2018-06-01 03:37:00",7489.26
"2018-06-01 03:38:00",7495.53
"2018-06-01 03:39:00",7500.00
"2018-06-01 03:40:00",7490.92
"2018-06-01 03:41:00",7493.26
"2018-06-01 03:42:00",7498.00
"2018-06-01 03:43:00",7488.40
"2018-06-01 03:44:00",7496.26
"2018-06-01 03:45:00",7500.25
"2018-06-01 03:46:00",7497.76
"2018-06-01 03:47:00",7497.75
"2018-06-01 03:48:00",7493.27
"2018-06-01 03:49:00",7493.76
"2018-06-01 03:50:00",7493.75
"2018-06-01 03:51:00",7493.75
"2018-06-01 03:52:00",7493.76
"2018-06-01 03:53:00",7496.29
"2018-06-01 03:54:00",7484.47
"2018-06-01 03:55:00",7484.47
"2018-06-01 03:56:00",7481.25
"2018-06-01 03:57:00",7476.98
"2018-06-01 03:58:00",7479.22
"2018-06-01 03:59:00",7493.29
"2018-06-01 04:00:00",7475.84
"2018-06-01 04:01:00",7478.86
"2018-06-01 04:02:00",7474.78
"2018-06-01 04:03:00",7469.47
"2018-06-01 04:04:00",7471.02
"2018-06-01 04:05:00",7478.90
"2018-06-01 04:06:00",7488.13
"2018-06-01 04:07:00",7486.59
"2018-06-01 04:08:00",7477.92
"2018-06-01 04:09:00",7479.66
"2018-06-01 04:10:00",7483.75
"2018-06-01 04:11:00",7483.75
"2018-06-01 04:12:00",7484.48
"2018-06-01 04:13:00",7471.82
"2018-06-01 04:14:00",7487.45
"2018-06-01 04:15:00",7480.79
"2018-06-01 04:16:00",7480.98
"2018-06-01 04:17:00",7483.70
"2018-06-01 04:18:00",7483.71
"2018-06-01 04:19:00",7491.65
"2018-06-01 04:20:00",7491.29
"2018-06-01 04:21:00",7483.86
"2018-06-01 04:22:00",7492.97
"2018-06-01 04:23:00",7485.53
"2018-06-01 04:24:00",7483.80
"2018-06-01 04:25:00",7483.80
"2018-06-01 04:26:00",7492.41
"2018-06-01 04:27:00",7485.09
"2018-06-01 04:28:00",7485.00
"2018-06-01 04:29:00",7485.00
"2018-06-01 04:30:00",7483.80
"2018-06-01 04:31:00",7484.22
"2018-06-01 04:32:00",7480.00
"2018-06-01 04:33:00",7482.00
"2018-06-01 04:34:00",7482.02
"2018-06-01 04:35:00",7482.00
"2018-06-01 04:36:00",7482.30
"2018-06-01 04:37:00",7479.43
"2018-06-01 04:38:00",7479.43
"2018-06-01 04:39:00",7476.96
"2018-06-01 04:40:00",7477.54
"2018-06-01 04:41:00",7477.54
"2018-06-01 04:42:00",7478.74
"2018-06-01 04:43:00",7479.00
"2018-06-01 04:44:00",7479.78
"2018-06-01 04:45:00",7479.78
"2018-06-01 04:46:00",7484.77
"2018-06-01 04:47:00",7481.18
"2018-06-01 04:48:00",7482.36
"2018-06-01 04:49:00",7488.21
"2018-06-01 04:50:00",7489.86
"2018-06-01 04:51:00",7486.52
"2018-06-01 04:52:00",7488.41
"2018-06-01 04:53:00",7484.02
"2018-06-01 04:54:00",7484.46
"2018-06-01 04:55:00",7481.62
"2018-06-01 04:56:00",7482.31
"2018-06-01 04:57:00",7482.32
"2018-06-01 04:58:00",7482.32
"2018-06-01 04:59:00",7489.30
"2018-06-01 05:00:00",7488.93
"2018-06-01 05:01:00",7494.51
"2018-06-01 05:02:00",7496.60
"2018-06-01 05:03:00",7496.60
"2018-06-01 05:04:00",7496.60
"2018-06-01 05:05:00",7492.22
"2018-06-01 05:06:00",7493.01
"2018-06-01 05:07:00",7489.96
"2018-06-01 05:08:00",7489.96
"2018-06-01 05:09:00",7490.31
"2018-06-01 05:10:00",7490.74
"2018-06-01 05:11:00",7491.87
"2018-06-01 05:12:00",7491.89
"2018-06-01 05:13:00",7497.70
"2018-06-01 05:14:00",7493.93
"2018-06-01 05:15:00",7492.05
"2018-06-01 05:16:00",7496.46
"2018-06-01 05:17:00",7495.80
"2018-06-01 05:18:00",7497.35
"2018-06-01 05:19:00",7498.24
"2018-06-01 05:20:00",7495.98
"2018-06-01 05:21:00",7491.99
"2018-06-01 05:22:00",7495.95
"2018-06-01 05:23:00",7494.39
"2018-06-01 05:24:00",7492.53
"2018-06-01 05:25:00",7492.53
"2018-06-01 05:26:00",7494.56
"2018-06-01 05:27:00",7486.40
"2018-06-01 05:28:00",7485.46
"2018-06-01 05:29:00",7492.97
"2018-06-01 05:30:00",7485.73
"2018-06-01 05:31:00",7491.08
"2018-06-01 05:32:00",7491.23
"2018-06-01 05:33:00",7488.05
"2018-06-01 05:34:00",7486.82
"2018-06-01 05:35:00",7486.82
"2018-06-01 05:36:00",7482.57
"2018-06-01 05:37:00",7487.90
"2018-06-01 05:38:00",7492.13
"2018-06-01 05:39:00",7488.94
"2018-06-01 05:40:00",7494.46
"2018-06-01 05:41:00",7489.37
"2018-06-01 05:42:00",7489.27
"2018-06-01 05:43:00",7490.00
"2018-06-01 05:44:00",7490.00
"2018-06-01 05:45:00",7490.00
"2018-06-01 05:46:00",7488.57
"2018-06-01 05:47:00",7487.00
"2018-06-01 05:48:00",7485.00
"2018-06-01 05:49:00",7485.00
"2018-06-01 05:50:00",7485.97
"2018-06-01 05:51:00",7486.67
"2018-06-01 05:52:00",7489.82
